model,decoding_method,beam_size,problem_id,input_tokens,output_tokens,total_tokens,score,source_file,row_index
Mistral,origin,1,1_1000#22,56,940,996,1,MISTRAL/origin/MATH500/1_1000.jsonl,22
Mistral,origin,1,1_1000#23,153,511,664,0,MISTRAL/origin/MATH500/1_1000.jsonl,23
Mistral,origin,1,1_1000#24,56,366,422,0,MISTRAL/origin/MATH500/1_1000.jsonl,24
Mistral,origin,1,1_1000#25,129,869,998,1,MISTRAL/origin/MATH500/1_1000.jsonl,25
Mistral,origin,1,1_1000#26,107,612,719,0,MISTRAL/origin/MATH500/1_1000.jsonl,26
Mistral,origin,1,1_1000#27,80,856,936,0,MISTRAL/origin/MATH500/1_1000.jsonl,27
Mistral,origin,1,1_1000#28,113,341,454,1,MISTRAL/origin/MATH500/1_1000.jsonl,28
Mistral,origin,1,1_1000#29,64,268,332,1,MISTRAL/origin/MATH500/1_1000.jsonl,29
Mistral,origin,1,1_1000#30,104,446,550,1,MISTRAL/origin/MATH500/1_1000.jsonl,30
Mistral,origin,1,1_1000#31,51,228,279,1,MISTRAL/origin/MATH500/1_1000.jsonl,31
Mistral,origin,1,1_1000#32,38,727,765,0,MISTRAL/origin/MATH500/1_1000.jsonl,32
Mistral,origin,1,1_1000#33,79,350,429,1,MISTRAL/origin/MATH500/1_1000.jsonl,33
Mistral,origin,1,1_1000#34,75,526,601,0,MISTRAL/origin/MATH500/1_1000.jsonl,34
Mistral,origin,1,1_1000#35,58,694,752,0,MISTRAL/origin/MATH500/1_1000.jsonl,35
Mistral,origin,1,1_1000#36,67,312,379,1,MISTRAL/origin/MATH500/1_1000.jsonl,36
Mistral,origin,1,1_1000#37,57,492,549,1,MISTRAL/origin/MATH500/1_1000.jsonl,37
Mistral,origin,1,1_1000#38,60,340,400,0,MISTRAL/origin/MATH500/1_1000.jsonl,38
Mistral,origin,1,1_1000#39,69,216,285,1,MISTRAL/origin/MATH500/1_1000.jsonl,39
Mistral,origin,1,1_1000#40,55,519,574,1,MISTRAL/origin/MATH500/1_1000.jsonl,40
Mistral,origin,1,1_1000#41,140,234,374,1,MISTRAL/origin/MATH500/1_1000.jsonl,41
Mistral,origin,1,1_1000#42,78,521,599,0,MISTRAL/origin/MATH500/1_1000.jsonl,42
Mistral,origin,1,1_1000#43,66,250,316,1,MISTRAL/origin/MATH500/1_1000.jsonl,43
Mistral,origin,1,1_1000#44,109,706,815,0,MISTRAL/origin/MATH500/1_1000.jsonl,44
Mistral,origin,1,1_1000#45,92,399,491,1,MISTRAL/origin/MATH500/1_1000.jsonl,45
Mistral,origin,1,1_1000#46,64,436,500,1,MISTRAL/origin/MATH500/1_1000.jsonl,46
Mistral,origin,1,1_1000#47,70,426,496,1,MISTRAL/origin/MATH500/1_1000.jsonl,47
Mistral,origin,1,1_1000#48,78,295,373,1,MISTRAL/origin/MATH500/1_1000.jsonl,48
Mistral,origin,1,1_1000#49,47,241,288,1,MISTRAL/origin/MATH500/1_1000.jsonl,49
Mistral,origin,1,1_1000#50,54,187,241,1,MISTRAL/origin/MATH500/1_1000.jsonl,50
Mistral,origin,1,1_1000#51,130,1000,1130,0,MISTRAL/origin/MATH500/1_1000.jsonl,51
Mistral,origin,1,1_1000#52,49,677,726,1,MISTRAL/origin/MATH500/1_1000.jsonl,52
Mistral,origin,1,1_1000#53,57,210,267,1,MISTRAL/origin/MATH500/1_1000.jsonl,53
Mistral,origin,1,1_1000#54,54,159,213,1,MISTRAL/origin/MATH500/1_1000.jsonl,54
Mistral,origin,1,1_1000#55,41,233,274,1,MISTRAL/origin/MATH500/1_1000.jsonl,55
Mistral,origin,1,1_1000#56,79,349,428,1,MISTRAL/origin/MATH500/1_1000.jsonl,56
Mistral,origin,1,1_1000#57,54,216,270,1,MISTRAL/origin/MATH500/1_1000.jsonl,57
Mistral,origin,1,1_1000#58,82,422,504,1,MISTRAL/origin/MATH500/1_1000.jsonl,58
Mistral,origin,1,1_1000#59,44,249,293,0,MISTRAL/origin/MATH500/1_1000.jsonl,59
Mistral,origin,1,1_1000#60,79,420,499,1,MISTRAL/origin/MATH500/1_1000.jsonl,60
Mistral,origin,1,1_1000#61,79,519,598,0,MISTRAL/origin/MATH500/1_1000.jsonl,61
Mistral,origin,1,1_1000#62,96,133,229,1,MISTRAL/origin/MATH500/1_1000.jsonl,62
Mistral,origin,1,1_1000#63,117,932,1049,0,MISTRAL/origin/MATH500/1_1000.jsonl,63
Mistral,origin,1,1_1000#64,115,744,859,0,MISTRAL/origin/MATH500/1_1000.jsonl,64
Mistral,origin,1,1_1000#65,91,1000,1091,0,MISTRAL/origin/MATH500/1_1000.jsonl,65
Mistral,origin,1,1_1000#66,47,129,176,1,MISTRAL/origin/MATH500/1_1000.jsonl,66
Mistral,origin,1,1_1000#67,60,300,360,0,MISTRAL/origin/MATH500/1_1000.jsonl,67
Mistral,origin,1,1_1000#68,76,192,268,0,MISTRAL/origin/MATH500/1_1000.jsonl,68
Mistral,origin,1,1_1000#69,92,696,788,0,MISTRAL/origin/MATH500/1_1000.jsonl,69
Mistral,origin,1,1_1000#70,81,414,495,0,MISTRAL/origin/MATH500/1_1000.jsonl,70
Mistral,origin,1,1_1000#71,49,288,337,1,MISTRAL/origin/MATH500/1_1000.jsonl,71
Mistral,origin,1,1_1000#72,55,280,335,0,MISTRAL/origin/MATH500/1_1000.jsonl,72
Mistral,origin,1,1_1000#73,61,252,313,1,MISTRAL/origin/MATH500/1_1000.jsonl,73
Mistral,origin,1,1_1000#74,92,271,363,1,MISTRAL/origin/MATH500/1_1000.jsonl,74
Mistral,origin,1,1_1000#75,51,280,331,1,MISTRAL/origin/MATH500/1_1000.jsonl,75
Mistral,origin,1,1_1000#76,66,278,344,1,MISTRAL/origin/MATH500/1_1000.jsonl,76
Mistral,origin,1,1_1000#77,67,192,259,1,MISTRAL/origin/MATH500/1_1000.jsonl,77
Mistral,origin,1,1_1000#78,46,213,259,1,MISTRAL/origin/MATH500/1_1000.jsonl,78
Mistral,origin,1,1_1000#79,95,837,932,0,MISTRAL/origin/MATH500/1_1000.jsonl,79
Mistral,origin,1,1_1000#80,48,147,195,1,MISTRAL/origin/MATH500/1_1000.jsonl,80
Mistral,origin,1,1_1000#81,73,798,871,0,MISTRAL/origin/MATH500/1_1000.jsonl,81
Mistral,origin,1,1_1000#82,77,313,390,1,MISTRAL/origin/MATH500/1_1000.jsonl,82
Mistral,origin,1,1_1000#83,113,326,439,0,MISTRAL/origin/MATH500/1_1000.jsonl,83
Mistral,origin,1,1_1000#84,50,426,476,1,MISTRAL/origin/MATH500/1_1000.jsonl,84
Mistral,origin,1,1_1000#85,84,255,339,0,MISTRAL/origin/MATH500/1_1000.jsonl,85
Mistral,origin,1,1_1000#86,88,356,444,1,MISTRAL/origin/MATH500/1_1000.jsonl,86
Mistral,origin,1,1_1000#87,67,273,340,1,MISTRAL/origin/MATH500/1_1000.jsonl,87
Mistral,origin,1,1_1000#88,50,241,291,1,MISTRAL/origin/MATH500/1_1000.jsonl,88
Mistral,origin,1,1_1000#89,105,1000,1105,0,MISTRAL/origin/MATH500/1_1000.jsonl,89
Mistral,origin,1,1_1000#90,53,759,812,1,MISTRAL/origin/MATH500/1_1000.jsonl,90
Mistral,origin,1,1_1000#91,70,200,270,1,MISTRAL/origin/MATH500/1_1000.jsonl,91
Mistral,origin,1,1_1000#92,69,237,306,1,MISTRAL/origin/MATH500/1_1000.jsonl,92
Mistral,origin,1,1_1000#93,68,609,677,0,MISTRAL/origin/MATH500/1_1000.jsonl,93
Mistral,origin,1,1_1000#94,71,357,428,1,MISTRAL/origin/MATH500/1_1000.jsonl,94
Mistral,origin,1,1_1000#95,390,407,797,0,MISTRAL/origin/MATH500/1_1000.jsonl,95
Mistral,origin,1,1_1000#96,92,562,654,1,MISTRAL/origin/MATH500/1_1000.jsonl,96
Mistral,origin,1,1_1000#97,131,868,999,0,MISTRAL/origin/MATH500/1_1000.jsonl,97
Mistral,origin,1,1_1000#98,74,190,264,1,MISTRAL/origin/MATH500/1_1000.jsonl,98
Mistral,origin,1,1_1000#99,46,125,171,0,MISTRAL/origin/MATH500/1_1000.jsonl,99
Mistral,origin,1,1_1000#100,104,575,679,0,MISTRAL/origin/MATH500/1_1000.jsonl,100
Mistral,origin,3,3_1000#1,76,214,290,1,MISTRAL/origin/MATH500/3_1000.jsonl,1
Mistral,origin,3,3_1000#2,124,823,947,1,MISTRAL/origin/MATH500/3_1000.jsonl,2
Mistral,origin,3,3_1000#3,74,381,455,1,MISTRAL/origin/MATH500/3_1000.jsonl,3
Mistral,origin,3,3_1000#4,42,303,345,1,MISTRAL/origin/MATH500/3_1000.jsonl,4
Mistral,origin,3,3_1000#5,378,405,783,1,MISTRAL/origin/MATH500/3_1000.jsonl,5
Mistral,origin,3,3_1000#6,69,233,302,1,MISTRAL/origin/MATH500/3_1000.jsonl,6
Mistral,origin,3,3_1000#7,47,341,388,1,MISTRAL/origin/MATH500/3_1000.jsonl,7
Mistral,origin,3,3_1000#8,92,704,796,0,MISTRAL/origin/MATH500/3_1000.jsonl,8
Mistral,origin,3,3_1000#9,62,389,451,1,MISTRAL/origin/MATH500/3_1000.jsonl,9
Mistral,origin,3,3_1000#10,170,1000,1170,0,MISTRAL/origin/MATH500/3_1000.jsonl,10
Mistral,origin,3,3_1000#11,53,325,378,1,MISTRAL/origin/MATH500/3_1000.jsonl,11
Mistral,origin,3,3_1000#12,86,389,475,0,MISTRAL/origin/MATH500/3_1000.jsonl,12
Mistral,origin,3,3_1000#13,99,401,500,1,MISTRAL/origin/MATH500/3_1000.jsonl,13
Mistral,origin,3,3_1000#14,206,190,396,1,MISTRAL/origin/MATH500/3_1000.jsonl,14
Mistral,origin,3,3_1000#15,147,152,299,0,MISTRAL/origin/MATH500/3_1000.jsonl,15
Mistral,origin,3,3_1000#16,211,579,790,0,MISTRAL/origin/MATH500/3_1000.jsonl,16
Mistral,origin,3,3_1000#17,51,250,301,1,MISTRAL/origin/MATH500/3_1000.jsonl,17
Mistral,origin,3,3_1000#18,252,508,760,0,MISTRAL/origin/MATH500/3_1000.jsonl,18
Mistral,origin,3,3_1000#19,180,1000,1180,0,MISTRAL/origin/MATH500/3_1000.jsonl,19
Mistral,origin,3,3_1000#20,74,850,924,0,MISTRAL/origin/MATH500/3_1000.jsonl,20
Mistral,origin,3,3_1000#21,41,172,213,1,MISTRAL/origin/MATH500/3_1000.jsonl,21
Mistral,origin,3,3_1000#22,56,938,994,1,MISTRAL/origin/MATH500/3_1000.jsonl,22
Mistral,origin,3,3_1000#23,153,377,530,0,MISTRAL/origin/MATH500/3_1000.jsonl,23
Mistral,origin,3,3_1000#24,56,373,429,0,MISTRAL/origin/MATH500/3_1000.jsonl,24
Mistral,origin,3,3_1000#25,129,868,997,1,MISTRAL/origin/MATH500/3_1000.jsonl,25
Mistral,origin,3,3_1000#26,107,632,739,0,MISTRAL/origin/MATH500/3_1000.jsonl,26
Mistral,origin,3,3_1000#27,80,909,989,0,MISTRAL/origin/MATH500/3_1000.jsonl,27
Mistral,origin,3,3_1000#28,113,350,463,1,MISTRAL/origin/MATH500/3_1000.jsonl,28
Mistral,origin,3,3_1000#29,64,114,178,1,MISTRAL/origin/MATH500/3_1000.jsonl,29
Mistral,origin,3,3_1000#30,104,395,499,1,MISTRAL/origin/MATH500/3_1000.jsonl,30
Mistral,origin,3,3_1000#31,51,228,279,1,MISTRAL/origin/MATH500/3_1000.jsonl,31
Mistral,origin,3,3_1000#32,38,460,498,0,MISTRAL/origin/MATH500/3_1000.jsonl,32
Mistral,origin,3,3_1000#33,79,398,477,1,MISTRAL/origin/MATH500/3_1000.jsonl,33
Mistral,origin,3,3_1000#34,75,594,669,0,MISTRAL/origin/MATH500/3_1000.jsonl,34
Mistral,origin,3,3_1000#35,58,667,725,1,MISTRAL/origin/MATH500/3_1000.jsonl,35
Mistral,origin,3,3_1000#36,67,337,404,1,MISTRAL/origin/MATH500/3_1000.jsonl,36
Mistral,origin,3,3_1000#37,57,1000,1057,0,MISTRAL/origin/MATH500/3_1000.jsonl,37
Mistral,origin,3,3_1000#38,60,336,396,0,MISTRAL/origin/MATH500/3_1000.jsonl,38
Mistral,origin,3,3_1000#39,69,152,221,1,MISTRAL/origin/MATH500/3_1000.jsonl,39
Mistral,origin,3,3_1000#40,55,285,340,1,MISTRAL/origin/MATH500/3_1000.jsonl,40
Mistral,origin,3,3_1000#41,140,250,390,0,MISTRAL/origin/MATH500/3_1000.jsonl,41
Mistral,origin,3,3_1000#42,78,443,521,0,MISTRAL/origin/MATH500/3_1000.jsonl,42
Mistral,origin,3,3_1000#43,66,165,231,1,MISTRAL/origin/MATH500/3_1000.jsonl,43
Mistral,origin,3,3_1000#44,109,1000,1109,0,MISTRAL/origin/MATH500/3_1000.jsonl,44
Mistral,origin,3,3_1000#45,92,421,513,1,MISTRAL/origin/MATH500/3_1000.jsonl,45
Mistral,origin,3,3_1000#46,64,267,331,1,MISTRAL/origin/MATH500/3_1000.jsonl,46
Mistral,origin,3,3_1000#47,70,539,609,1,MISTRAL/origin/MATH500/3_1000.jsonl,47
Mistral,origin,3,3_1000#48,78,369,447,1,MISTRAL/origin/MATH500/3_1000.jsonl,48
Mistral,origin,3,3_1000#49,47,230,277,1,MISTRAL/origin/MATH500/3_1000.jsonl,49
Mistral,origin,3,3_1000#50,54,187,241,1,MISTRAL/origin/MATH500/3_1000.jsonl,50
Mistral,origin,3,3_1000#51,130,753,883,1,MISTRAL/origin/MATH500/3_1000.jsonl,51
Mistral,origin,3,3_1000#52,49,760,809,1,MISTRAL/origin/MATH500/3_1000.jsonl,52
Mistral,origin,3,3_1000#53,57,187,244,1,MISTRAL/origin/MATH500/3_1000.jsonl,53
Mistral,origin,3,3_1000#54,54,183,237,1,MISTRAL/origin/MATH500/3_1000.jsonl,54
Mistral,origin,3,3_1000#55,41,233,274,1,MISTRAL/origin/MATH500/3_1000.jsonl,55
Mistral,origin,3,3_1000#56,79,295,374,1,MISTRAL/origin/MATH500/3_1000.jsonl,56
Mistral,origin,3,3_1000#57,54,239,293,1,MISTRAL/origin/MATH500/3_1000.jsonl,57
Mistral,origin,3,3_1000#58,82,426,508,1,MISTRAL/origin/MATH500/3_1000.jsonl,58
Mistral,origin,3,3_1000#59,44,315,359,0,MISTRAL/origin/MATH500/3_1000.jsonl,59
Mistral,origin,3,3_1000#60,79,317,396,1,MISTRAL/origin/MATH500/3_1000.jsonl,60
Mistral,origin,3,3_1000#61,79,1000,1079,0,MISTRAL/origin/MATH500/3_1000.jsonl,61
Mistral,origin,3,3_1000#62,96,133,229,1,MISTRAL/origin/MATH500/3_1000.jsonl,62
Mistral,origin,3,3_1000#63,117,938,1055,1,MISTRAL/origin/MATH500/3_1000.jsonl,63
Mistral,origin,3,3_1000#64,115,468,583,0,MISTRAL/origin/MATH500/3_1000.jsonl,64
Mistral,origin,3,3_1000#65,91,856,947,0,MISTRAL/origin/MATH500/3_1000.jsonl,65
Mistral,origin,3,3_1000#66,47,159,206,1,MISTRAL/origin/MATH500/3_1000.jsonl,66
Mistral,origin,3,3_1000#67,60,300,360,0,MISTRAL/origin/MATH500/3_1000.jsonl,67
Mistral,origin,3,3_1000#68,76,195,271,0,MISTRAL/origin/MATH500/3_1000.jsonl,68
Mistral,origin,3,3_1000#69,92,833,925,1,MISTRAL/origin/MATH500/3_1000.jsonl,69
Mistral,origin,3,3_1000#70,81,342,423,1,MISTRAL/origin/MATH500/3_1000.jsonl,70
Mistral,origin,3,3_1000#71,49,288,337,1,MISTRAL/origin/MATH500/3_1000.jsonl,71
Mistral,origin,3,3_1000#72,55,386,441,0,MISTRAL/origin/MATH500/3_1000.jsonl,72
Mistral,origin,3,3_1000#73,61,281,342,1,MISTRAL/origin/MATH500/3_1000.jsonl,73
Mistral,origin,3,3_1000#74,92,261,353,1,MISTRAL/origin/MATH500/3_1000.jsonl,74
Mistral,origin,3,3_1000#75,51,315,366,1,MISTRAL/origin/MATH500/3_1000.jsonl,75
Mistral,origin,3,3_1000#76,66,269,335,1,MISTRAL/origin/MATH500/3_1000.jsonl,76
Mistral,origin,3,3_1000#77,67,248,315,0,MISTRAL/origin/MATH500/3_1000.jsonl,77
Mistral,origin,3,3_1000#78,46,199,245,1,MISTRAL/origin/MATH500/3_1000.jsonl,78
Mistral,origin,3,3_1000#79,95,975,1070,0,MISTRAL/origin/MATH500/3_1000.jsonl,79
Mistral,origin,3,3_1000#80,48,164,212,1,MISTRAL/origin/MATH500/3_1000.jsonl,80
Mistral,origin,3,3_1000#81,73,761,834,0,MISTRAL/origin/MATH500/3_1000.jsonl,81
Mistral,origin,3,3_1000#82,77,491,568,1,MISTRAL/origin/MATH500/3_1000.jsonl,82
Mistral,origin,3,3_1000#83,113,341,454,0,MISTRAL/origin/MATH500/3_1000.jsonl,83
Mistral,origin,3,3_1000#84,50,652,702,0,MISTRAL/origin/MATH500/3_1000.jsonl,84
Mistral,origin,3,3_1000#85,84,316,400,1,MISTRAL/origin/MATH500/3_1000.jsonl,85
Mistral,origin,3,3_1000#86,88,244,332,1,MISTRAL/origin/MATH500/3_1000.jsonl,86
Mistral,origin,3,3_1000#87,67,249,316,1,MISTRAL/origin/MATH500/3_1000.jsonl,87
Mistral,origin,3,3_1000#88,50,477,527,1,MISTRAL/origin/MATH500/3_1000.jsonl,88
Mistral,origin,3,3_1000#89,105,539,644,0,MISTRAL/origin/MATH500/3_1000.jsonl,89
Mistral,origin,3,3_1000#90,53,759,812,1,MISTRAL/origin/MATH500/3_1000.jsonl,90
Mistral,origin,3,3_1000#91,70,223,293,1,MISTRAL/origin/MATH500/3_1000.jsonl,91
Mistral,origin,3,3_1000#92,69,250,319,1,MISTRAL/origin/MATH500/3_1000.jsonl,92
Mistral,origin,3,3_1000#93,68,612,680,0,MISTRAL/origin/MATH500/3_1000.jsonl,93
Mistral,origin,3,3_1000#94,71,391,462,1,MISTRAL/origin/MATH500/3_1000.jsonl,94
Mistral,origin,3,3_1000#95,390,353,743,0,MISTRAL/origin/MATH500/3_1000.jsonl,95
Mistral,origin,3,3_1000#96,92,562,654,1,MISTRAL/origin/MATH500/3_1000.jsonl,96
Mistral,origin,3,3_1000#97,131,436,567,0,MISTRAL/origin/MATH500/3_1000.jsonl,97
Mistral,origin,3,3_1000#98,74,262,336,1,MISTRAL/origin/MATH500/3_1000.jsonl,98
Mistral,origin,3,3_1000#99,46,121,167,0,MISTRAL/origin/MATH500/3_1000.jsonl,99
Mistral,origin,3,3_1000#100,104,494,598,0,MISTRAL/origin/MATH500/3_1000.jsonl,100
Mistral,origin,6,6_1000#1,76,240,316,1,MISTRAL/origin/MATH500/6_1000.jsonl,1
Mistral,origin,6,6_1000#2,124,630,754,1,MISTRAL/origin/MATH500/6_1000.jsonl,2
Mistral,origin,6,6_1000#3,74,381,455,1,MISTRAL/origin/MATH500/6_1000.jsonl,3
Mistral,origin,6,6_1000#4,42,303,345,1,MISTRAL/origin/MATH500/6_1000.jsonl,4
Mistral,origin,6,6_1000#5,378,467,845,1,MISTRAL/origin/MATH500/6_1000.jsonl,5
Mistral,origin,6,6_1000#6,69,195,264,1,MISTRAL/origin/MATH500/6_1000.jsonl,6
Mistral,origin,6,6_1000#7,47,341,388,1,MISTRAL/origin/MATH500/6_1000.jsonl,7
Mistral,origin,6,6_1000#8,92,1000,1092,0,MISTRAL/origin/MATH500/6_1000.jsonl,8
Mistral,origin,6,6_1000#9,62,413,475,1,MISTRAL/origin/MATH500/6_1000.jsonl,9
Mistral,origin,6,6_1000#10,170,1000,1170,0,MISTRAL/origin/MATH500/6_1000.jsonl,10
Mistral,origin,6,6_1000#11,53,313,366,1,MISTRAL/origin/MATH500/6_1000.jsonl,11
Mistral,origin,6,6_1000#12,86,509,595,0,MISTRAL/origin/MATH500/6_1000.jsonl,12
Mistral,origin,6,6_1000#13,99,401,500,1,MISTRAL/origin/MATH500/6_1000.jsonl,13
Mistral,origin,6,6_1000#14,206,172,378,1,MISTRAL/origin/MATH500/6_1000.jsonl,14
Mistral,origin,6,6_1000#15,147,152,299,0,MISTRAL/origin/MATH500/6_1000.jsonl,15
Mistral,origin,6,6_1000#16,211,575,786,1,MISTRAL/origin/MATH500/6_1000.jsonl,16
Mistral,origin,6,6_1000#17,51,260,311,1,MISTRAL/origin/MATH500/6_1000.jsonl,17
Mistral,origin,6,6_1000#18,252,497,749,1,MISTRAL/origin/MATH500/6_1000.jsonl,18
Mistral,origin,6,6_1000#19,180,429,609,0,MISTRAL/origin/MATH500/6_1000.jsonl,19
Mistral,origin,6,6_1000#20,74,724,798,0,MISTRAL/origin/MATH500/6_1000.jsonl,20
Mistral,origin,6,6_1000#21,41,579,620,0,MISTRAL/origin/MATH500/6_1000.jsonl,21
Mistral,origin,6,6_1000#22,56,752,808,1,MISTRAL/origin/MATH500/6_1000.jsonl,22
Mistral,origin,6,6_1000#23,153,651,804,1,MISTRAL/origin/MATH500/6_1000.jsonl,23
Mistral,origin,6,6_1000#24,56,560,616,0,MISTRAL/origin/MATH500/6_1000.jsonl,24
Mistral,origin,6,6_1000#25,129,876,1005,1,MISTRAL/origin/MATH500/6_1000.jsonl,25
Mistral,origin,6,6_1000#26,107,613,720,0,MISTRAL/origin/MATH500/6_1000.jsonl,26
Mistral,origin,6,6_1000#27,80,1000,1080,0,MISTRAL/origin/MATH500/6_1000.jsonl,27
Mistral,origin,6,6_1000#28,113,350,463,1,MISTRAL/origin/MATH500/6_1000.jsonl,28
Mistral,origin,6,6_1000#29,64,297,361,1,MISTRAL/origin/MATH500/6_1000.jsonl,29
Mistral,origin,6,6_1000#30,104,404,508,1,MISTRAL/origin/MATH500/6_1000.jsonl,30
Mistral,origin,6,6_1000#31,51,228,279,1,MISTRAL/origin/MATH500/6_1000.jsonl,31
Mistral,origin,6,6_1000#32,38,460,498,0,MISTRAL/origin/MATH500/6_1000.jsonl,32
Mistral,origin,6,6_1000#33,79,398,477,1,MISTRAL/origin/MATH500/6_1000.jsonl,33
Mistral,origin,6,6_1000#34,75,526,601,0,MISTRAL/origin/MATH500/6_1000.jsonl,34
Mistral,origin,6,6_1000#35,58,667,725,1,MISTRAL/origin/MATH500/6_1000.jsonl,35
Mistral,origin,6,6_1000#36,67,324,391,1,MISTRAL/origin/MATH500/6_1000.jsonl,36
Mistral,origin,6,6_1000#37,57,729,786,0,MISTRAL/origin/MATH500/6_1000.jsonl,37
Mistral,origin,6,6_1000#38,60,318,378,0,MISTRAL/origin/MATH500/6_1000.jsonl,38
Mistral,origin,6,6_1000#39,69,152,221,1,MISTRAL/origin/MATH500/6_1000.jsonl,39
Mistral,origin,6,6_1000#40,55,483,538,1,MISTRAL/origin/MATH500/6_1000.jsonl,40
Mistral,origin,6,6_1000#41,140,250,390,0,MISTRAL/origin/MATH500/6_1000.jsonl,41
Mistral,origin,6,6_1000#42,78,455,533,0,MISTRAL/origin/MATH500/6_1000.jsonl,42
Mistral,origin,6,6_1000#43,66,165,231,1,MISTRAL/origin/MATH500/6_1000.jsonl,43
Mistral,origin,6,6_1000#44,109,1000,1109,0,MISTRAL/origin/MATH500/6_1000.jsonl,44
Mistral,origin,6,6_1000#45,92,421,513,1,MISTRAL/origin/MATH500/6_1000.jsonl,45
Mistral,origin,6,6_1000#46,64,267,331,1,MISTRAL/origin/MATH500/6_1000.jsonl,46
Mistral,origin,6,6_1000#47,70,539,609,1,MISTRAL/origin/MATH500/6_1000.jsonl,47
Mistral,origin,6,6_1000#48,78,507,585,1,MISTRAL/origin/MATH500/6_1000.jsonl,48
Mistral,origin,6,6_1000#49,47,231,278,1,MISTRAL/origin/MATH500/6_1000.jsonl,49
Mistral,origin,6,6_1000#50,54,187,241,1,MISTRAL/origin/MATH500/6_1000.jsonl,50
Mistral,origin,6,6_1000#51,130,753,883,1,MISTRAL/origin/MATH500/6_1000.jsonl,51
Mistral,origin,6,6_1000#52,49,756,805,1,MISTRAL/origin/MATH500/6_1000.jsonl,52
Mistral,origin,6,6_1000#53,57,247,304,1,MISTRAL/origin/MATH500/6_1000.jsonl,53
Mistral,origin,6,6_1000#54,54,159,213,1,MISTRAL/origin/MATH500/6_1000.jsonl,54
Mistral,origin,6,6_1000#55,41,233,274,1,MISTRAL/origin/MATH500/6_1000.jsonl,55
Mistral,origin,6,6_1000#56,79,298,377,1,MISTRAL/origin/MATH500/6_1000.jsonl,56
Mistral,origin,6,6_1000#57,54,120,174,1,MISTRAL/origin/MATH500/6_1000.jsonl,57
Mistral,origin,6,6_1000#58,82,271,353,1,MISTRAL/origin/MATH500/6_1000.jsonl,58
Mistral,origin,6,6_1000#59,44,250,294,1,MISTRAL/origin/MATH500/6_1000.jsonl,59
Mistral,origin,6,6_1000#60,79,373,452,1,MISTRAL/origin/MATH500/6_1000.jsonl,60
Mistral,origin,6,6_1000#61,79,745,824,0,MISTRAL/origin/MATH500/6_1000.jsonl,61
Mistral,origin,6,6_1000#62,96,133,229,1,MISTRAL/origin/MATH500/6_1000.jsonl,62
Mistral,origin,6,6_1000#63,117,936,1053,1,MISTRAL/origin/MATH500/6_1000.jsonl,63
Mistral,origin,6,6_1000#64,115,452,567,0,MISTRAL/origin/MATH500/6_1000.jsonl,64
Mistral,origin,6,6_1000#65,91,1000,1091,0,MISTRAL/origin/MATH500/6_1000.jsonl,65
Mistral,origin,6,6_1000#66,47,138,185,1,MISTRAL/origin/MATH500/6_1000.jsonl,66
Mistral,origin,6,6_1000#67,60,300,360,0,MISTRAL/origin/MATH500/6_1000.jsonl,67
Mistral,origin,6,6_1000#68,76,325,401,0,MISTRAL/origin/MATH500/6_1000.jsonl,68
Mistral,origin,6,6_1000#69,92,1000,1092,0,MISTRAL/origin/MATH500/6_1000.jsonl,69
Mistral,origin,6,6_1000#70,81,359,440,1,MISTRAL/origin/MATH500/6_1000.jsonl,70
Mistral,origin,6,6_1000#71,49,309,358,1,MISTRAL/origin/MATH500/6_1000.jsonl,71
Mistral,origin,6,6_1000#72,55,386,441,0,MISTRAL/origin/MATH500/6_1000.jsonl,72
Mistral,origin,6,6_1000#73,61,281,342,1,MISTRAL/origin/MATH500/6_1000.jsonl,73
Mistral,origin,6,6_1000#74,92,309,401,1,MISTRAL/origin/MATH500/6_1000.jsonl,74
Mistral,origin,6,6_1000#75,51,315,366,1,MISTRAL/origin/MATH500/6_1000.jsonl,75
Mistral,origin,6,6_1000#76,66,269,335,1,MISTRAL/origin/MATH500/6_1000.jsonl,76
Mistral,origin,6,6_1000#77,67,413,480,1,MISTRAL/origin/MATH500/6_1000.jsonl,77
Mistral,origin,6,6_1000#78,46,199,245,1,MISTRAL/origin/MATH500/6_1000.jsonl,78
Mistral,origin,6,6_1000#79,95,971,1066,0,MISTRAL/origin/MATH500/6_1000.jsonl,79
Mistral,origin,6,6_1000#80,48,188,236,1,MISTRAL/origin/MATH500/6_1000.jsonl,80
Mistral,origin,6,6_1000#81,73,860,933,0,MISTRAL/origin/MATH500/6_1000.jsonl,81
Mistral,origin,6,6_1000#82,77,352,429,1,MISTRAL/origin/MATH500/6_1000.jsonl,82
Mistral,origin,6,6_1000#83,113,326,439,0,MISTRAL/origin/MATH500/6_1000.jsonl,83
Mistral,origin,6,6_1000#84,50,597,647,0,MISTRAL/origin/MATH500/6_1000.jsonl,84
Mistral,origin,6,6_1000#85,84,254,338,1,MISTRAL/origin/MATH500/6_1000.jsonl,85
Mistral,origin,6,6_1000#86,88,305,393,1,MISTRAL/origin/MATH500/6_1000.jsonl,86
Mistral,origin,6,6_1000#87,67,260,327,1,MISTRAL/origin/MATH500/6_1000.jsonl,87
Mistral,origin,6,6_1000#88,50,218,268,1,MISTRAL/origin/MATH500/6_1000.jsonl,88
